Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
1830,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091891602,MPUPS ERRAGUNTA,6,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,161,03_101-250,0.50,50000,50000,36000,8500,5500,
1831,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091891603,MPPS PALAKOYYATHANDA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,152,03_101-250,0.50,50000,50000,36000,8500,5500,
1832,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091891604,MPUPS SEKHARAM BANJARA,2,02_UPS,01_Govt_Localbody,Elementary,11_91 to 100,91,02_31-100,0.25,25000,25000,18000,4250,2750,
1833,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091891701,MPPS KARAKAVAGU,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,125,03_101-250,0.50,50000,50000,36000,8500,5500,
1834,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091891702,TWPS GAJULA GUDEM,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
1835,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091891703,ZPHS KARAKAVAGU,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,121,03_101-250,0.50,50000,50000,36000,8500,5500,
Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
1836,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091891801,MPPS PRASHANTHI NAGAR COLONY,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,41,02_31-100,0.25,25000,25000,18000,4250,2750,
1837,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091892101,MPPS VENGALRAONAGAR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,31,02_31-100,0.25,25000,25000,18000,4250,2750,
1838,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091892201,MPPS KTPS ACOLONY,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,195,03_101-250,0.50,50000,50000,36000,8500,5500,
1839,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091892202,ZPHS KTPS PALONCHA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,188,03_101-250,0.50,50000,50000,36000,8500,5500,
1840,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36091892405,TW ASHRAM PS NEHRUNAGAR Palvancha,1,01_PS,08_TW (Dept),Elementary,07_51 to 60,54,02_31-100,0.25,25000,25000,18000,4250,2750,
1841,3609,BHADRADRI KOTHAGUDEM,360918,PALVANCHA,36094102360,MPPS KOYAGATTU,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,46,02_31-100,0.25,25000,25000,18000,4250,2750,
1842,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200101,MPPS KISTAPURAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
1843,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200102,MPPS GOVINDAPURAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
1844,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200103,TWPS POTLAPALLI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
1845,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200105,MPUPS GADDYGUDEM,2,02_UPS,01_Govt_Localbody,Elementary,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
1846,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200110,TW ASHRAM PS ELCHIREDDY PALLI,1,01_PS,08_TW (Dept),Elementary,06_41 to 50,48,02_31-100,0.25,25000,25000,18000,4250,2750,
1847,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200201,MPPS REDDY GUDEM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,24,01_1-30,0.10,10000,10000,7200,1700,1100,
1848,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200202,MPPS DUGINEPALLI,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,39,02_31-100,0.25,25000,25000,18000,4250,2750,
1849,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200204,TWPS DUGINEPALLI ST COLONY,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
1850,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200205,ZPHS DUGINEPALLI,7,03_HS,01_Govt_Localbody,sec_hsec,08_61 to 70,69,02_31-100,0.25,25000,25000,18000,4250,2750,
1851,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200301,MPUPS CHEGARSALA,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,56,02_31-100,0.25,25000,25000,18000,4250,2750,
1852,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200601,MPPS BHEEMAVARAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1853,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200801,MPPS JANAMPETA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,45,02_31-100,0.25,25000,25000,18000,4250,2750,
1854,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200802,MPPS KOTHURU,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
1855,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200803,MPPS VIPPALAGUMPU,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
1856,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200805,MPPS DUBBAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
1857,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200806,MPUPS PANDURANGAPURAM,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,48,02_31-100,0.25,25000,25000,18000,4250,2750,
1858,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200807,MPPS KOTHA GUMPU,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,38,02_31-100,0.25,25000,25000,18000,4250,2750,
1859,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200808,MPUPS BHUPATHIRAO PETA,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,56,02_31-100,0.25,25000,25000,18000,4250,2750,
1860,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200809,MPUPS AMARAVARAM,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,54,02_31-100,0.25,25000,25000,18000,4250,2750,
1861,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200810,ZPHS JANAMPETA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,115,03_101-250,0.50,50000,50000,36000,8500,5500,
1862,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200901,MPUPS MALLARAM,2,02_UPS,01_Govt_Localbody,Elementary,06_41 to 50,46,02_31-100,0.25,25000,25000,18000,4250,2750,
1863,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200902,MPPS BESTHAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
1864,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200903,TWPS RAMANJANEYAPURAM,1,01_PS,08_TW (Dept),Elementary,08_61 to 70,64,02_31-100,0.25,25000,25000,18000,4250,2750,
1865,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200904,TWPS RAJUPETA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
1866,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200905,MPUPS JAGGARAM,2,02_UPS,01_Govt_Localbody,Elementary,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
1867,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090200906,MPUPS SINGIREDDYPALLI,2,02_UPS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
1868,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201001,MPPS VENKATRAOPETA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,34,02_31-100,0.25,25000,25000,18000,4250,2750,
1869,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201101,MPPS ELCHIREDDYPALLI ST COLONY,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1870,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201102,MPPS ELCHIREDDYPALLY SC COLONY,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,24,01_1-30,0.10,10000,10000,7200,1700,1100,
1871,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201103,KGBV PINAPAKA,5,04_HSS,04_KGBV,sec_hsec,14_301 to 400,310,04_251-1000,0.75,75000,75000,54000,12750,8250,
1872,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201304,TWPS GADDAM PALLY,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
1873,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201401,MPPS PINAPAKA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,22,01_1-30,0.10,10000,10000,7200,1700,1100,
1874,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201402,MPPS GOPALARAO PETA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
1875,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201404,MPUPS THOGGUDEM,2,02_UPS,01_Govt_Localbody,Elementary,08_61 to 70,69,02_31-100,0.25,25000,25000,18000,4250,2750,
1876,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201405,ZPHS PINAPAKA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,160,03_101-250,0.50,50000,50000,36000,8500,5500,
1877,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201410,"GOVT. JUNIOR COLLEGE, PINAPAKA",11,05_JRC,01_Govt_Localbody,sec_hsec,10_81 to 90,87,02_31-100,0.25,25000,25000,18000,4250,2750,
1878,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201501,MPPS SEETHAMPETA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1879,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201505,MPPS PENTANNAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,30,01_1-30,0.10,10000,10000,7200,1700,1100,
1880,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201506,TWPS BOTIGUDEM,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
1881,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201508,TWPS BANDAGIRINAGAR,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,22,01_1-30,0.10,10000,10000,7200,1700,1100,
1882,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201509,MPUPS UPPAKA,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,55,02_31-100,0.25,25000,25000,18000,4250,2750,
1883,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201603,MPPS BHUPALAPATNAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
1884,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201604,MPPS GANDLA BAYYARAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
1885,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201605,MPPS RAVIGUDEM BC,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
1886,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201606,MPPS E. BAYYARAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
1887,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201607,MPUPS POTHUREDDIPALLY,2,02_UPS,01_Govt_Localbody,Elementary,10_81 to 90,88,02_31-100,0.25,25000,25000,18000,4250,2750,
1888,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201608,MPUPS CHINTHALA  BAYYARAM,2,02_UPS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
1889,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201609,ZPHS EDULLA BAYYARAM,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,191,03_101-250,0.50,50000,50000,36000,8500,5500,
1890,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201701,MPPS SEETHARAMPURAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
1891,3609,BHADRADRI KOTHAGUDEM,360902,PINAPAKA,36090201801,MPPS BOMMARAJUPALLI,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
1892,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500101,MPPS SINGABHUPALEM,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,44,02_31-100,0.25,25000,25000,18000,4250,2750,
1893,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500102,MPPS OLD ANJANAPURAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
1894,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500103,MPPS NEW ANJANAPURAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
1895,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500104,MPPS ROOPLA THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1896,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500105,MPPS CHIMNA THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
1897,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500106,MPPS JAMLA THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1898,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500108,TWPS NANYA THANDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
1899,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500110,ZPHS SINGABHUPALEM,7,03_HS,01_Govt_Localbody,sec_hsec,09_71 to 80,77,02_31-100,0.25,25000,25000,18000,4250,2750,
1900,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500111,TWPS BETHAMPUDI,1,01_PS,08_TW (Dept),Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
1901,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500201,MPPS SARVARAM,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,68,02_31-100,0.25,25000,25000,18000,4250,2750,
1902,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500202,TW ASHRAM PS SARVARAM,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,27,01_1-30,0.10,10000,10000,7200,1700,1100,
1903,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500204,TW ASHRAM HS SARVARAM,7,03_HS,08_TW (Dept),sec_hsec,13_201 to 300,234,03_101-250,0.50,50000,50000,36000,8500,5500,
1904,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500205,MPPS GOPA THANDA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,35,02_31-100,0.25,25000,25000,18000,4250,2750,
1905,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500301,MPPS VEPALAGADDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
1906,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500302,MPPS SUJATHANAGAR,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,103,03_101-250,0.50,50000,50000,36000,8500,5500,
1907,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500303,MPPS NARASIMHASAGAR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
1908,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500304,MPPS MANGAPETA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
1909,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500305,MPPS NIMMALAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
1910,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500306,MPPS KOMATIPALLY,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
1911,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500308,MPPS DEGALAMADUGU,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
1912,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500309,MPPS LAXMIDEVIPALLY THANDA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,31,02_31-100,0.25,25000,25000,18000,4250,2750,
1913,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500310,MPPS MARRI THANDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,27,01_1-30,0.10,10000,10000,7200,1700,1100,
1914,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500311,MPPS NAYAKULAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
1915,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500314,MPPS GOLLAGUDEM (S),1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
1916,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500401,MPPS GOLLAGUDEM (R),1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1917,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500402,MPPS MALABANJARA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1918,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500403,MPUPS RAGHAVAPURAM,2,02_UPS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
1919,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500501,MPPS SEETHAMPETA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
1920,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500504,GOVT. PS SEETHAMPETA BANJARA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
1921,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500602,MPPS LAXMIPURAM THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
1922,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500603,MPPS GAREEBPETA,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,92,02_31-100,0.25,25000,25000,18000,4250,2750,
1923,3609,BHADRADRI KOTHAGUDEM,360915,SUJATHANAGAR,36091500604,ZPHS GAREEBPETA,7,03_HS,01_Govt_Localbody,sec_hsec,09_71 to 80,73,02_31-100,0.25,25000,25000,18000,4250,2750,
1924,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000101,MPPS BODU,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,43,02_31-100,0.25,25000,25000,18000,4250,2750,
1925,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000102,MPPS MOKKAMPADU THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
1926,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000103,MPPS YERRAIGUDEM,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,35,02_31-100,0.25,25000,25000,18000,4250,2750,
1927,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000104,MPPS KOTHAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,39,02_31-100,0.25,25000,25000,18000,4250,2750,
1928,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000106,MPPS PETRAM CHELKA STAGE,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1929,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000107,TWPS THOLEMRAMAYA GUMPU,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1930,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000108,TWPS MURUTLA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
1931,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000110,MPUPS PETRAM CHELAKA,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,58,02_31-100,0.25,25000,25000,18000,4250,2750,
1932,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000111,ZPHS BODU,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,143,03_101-250,0.50,50000,50000,36000,8500,5500,
1933,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000112,MPPS MUKKAMPADU GUMPU,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
1934,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000115,MPPS PATHARLA GADDA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
1935,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000202,MPPS KOPPURAI,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,47,02_31-100,0.25,25000,25000,18000,4250,2750,
1936,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000203,MPPS GOLLAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,76,02_31-100,0.25,25000,25000,18000,4250,2750,
1937,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000204,MPPS LAXMIPURAM,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
1938,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000205,TWPS VODDUGUDEM,1,01_PS,08_TW (Dept),Elementary,07_51 to 60,50,02_31-100,0.25,25000,25000,18000,4250,2750,
1939,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000206,MPPS RAMACHANDRUNIPETA,1,01_PS,01_Govt_Localbody,Elementary,07_51 to 60,57,02_31-100,0.25,25000,25000,18000,4250,2750,
1940,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000301,MPPS MEDAMADUGU,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
1941,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000302,MPPS GANGARAM,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,39,02_31-100,0.25,25000,25000,18000,4250,2750,
1942,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000303,MPPS PATHA LACHAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1943,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000304,MPPS TEKULAGUMPU,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1944,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000305,TWPS VOJJUNIGUDEM,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,27,01_1-30,0.10,10000,10000,7200,1700,1100,
1945,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000306,TW ASHRAM PS SAMPATHNAGAR,1,01_PS,08_TW (Dept),Elementary,06_41 to 50,50,02_31-100,0.25,25000,25000,18000,4250,2750,
