Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
17654,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401725,GOVT. HS RAJENDRANGAR,7,03_HS,01_Govt_Localbody,sec_hsec,19_801 to 900,835,04_251-1000,0.75,75000,75000,54000,12750,8250,
17655,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401745,ZPHS NTR NAGAR (UM),7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,170,03_101-250,0.50,50000,50000,36000,8500,5500,
17656,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401783,GOVT. PS BHUPAL NAGAR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
17657,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401785,MPPS VAMBAY COLONY,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,213,03_101-250,0.50,50000,50000,36000,8500,5500,
17658,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401788,ZPHS PADMASHALIPURAM,7,03_HS,01_Govt_Localbody,sec_hsec,16_501 to 600,546,04_251-1000,0.75,75000,75000,54000,12750,8250,
17659,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401820,GOVT. PS HASSAN NAGAR - III,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,93,02_31-100,0.25,25000,25000,18000,4250,2750,
17660,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401826,"GOVT. JR. COLLEGE , RAJENDRANAGAR, RANGA REDDY
DIST.",11,05_JRC,01_Govt_Localbody,sec_hsec,20_901 to 1000,990,04_251-1000,0.75,75000,75000,54000,12750,8250,
17661,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401896,ZPHS GANESHNAGAR,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,380,04_251-1000,0.75,75000,75000,54000,12750,8250,
17662,3623,RANGA REDDY,362306,SAROORNAGAR,36230600410,MPPS CHAMPAPET,1,01_PS,01_Govt_Localbody,Elementary,14_301 to 400,376,04_251-1000,0.75,75000,75000,54000,12750,8250,
17663,3623,RANGA REDDY,362306,SAROORNAGAR,36230600411,MPPS CHAMPAPET (UM),1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
17664,3623,RANGA REDDY,362306,SAROORNAGAR,36230600701,MPPS BAIRAMLEGUDA,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,83,02_31-100,0.25,25000,25000,18000,4250,2750,
17665,3623,RANGA REDDY,362306,SAROORNAGAR,36230601201,MPPS KARMANGHAT,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,187,03_101-250,0.50,50000,50000,36000,8500,5500,
17666,3623,RANGA REDDY,362306,SAROORNAGAR,36230601304,MPPS SULTAN VALVA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,118,03_101-250,0.50,50000,50000,36000,8500,5500,
17667,3623,RANGA REDDY,362306,SAROORNAGAR,36230601305,MPPS SAROORANGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,166,03_101-250,0.50,50000,50000,36000,8500,5500,
17668,3623,RANGA REDDY,362306,SAROORNAGAR,36230601306,MPPS BAGATSINGH NGAR,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,81,02_31-100,0.25,25000,25000,18000,4250,2750,
17669,3623,RANGA REDDY,362306,SAROORNAGAR,36230601307,MPPS RAMAKRISHNAPURAM,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,84,02_31-100,0.25,25000,25000,18000,4250,2750,
17670,3623,RANGA REDDY,362306,SAROORNAGAR,36230601308,MPPS NTR NAGAR,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,220,03_101-250,0.50,50000,50000,36000,8500,5500,
17671,3623,RANGA REDDY,362306,SAROORNAGAR,36230601310,MPPS CHERUKUTHOTA COL,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,107,03_101-250,0.50,50000,50000,36000,8500,5500,
17672,3623,RANGA REDDY,362306,SAROORNAGAR,36230601311,MPPS BHAGATH SINGH NAGAR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
17673,3623,RANGA REDDY,362306,SAROORNAGAR,36230601312,MPPS MALLIKARJUN NAGAR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,68,02_31-100,0.25,25000,25000,18000,4250,2750,
17674,3623,RANGA REDDY,362306,SAROORNAGAR,36230601314,MPPS BAHADURGUDA,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,260,04_251-1000,0.75,75000,75000,54000,12750,8250,
17675,3623,RANGA REDDY,362306,SAROORNAGAR,36230601315,MPPS GUNTI JANGAIAH,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,68,02_31-100,0.25,25000,25000,18000,4250,2750,
17676,3623,RANGA REDDY,362306,SAROORNAGAR,36230601316,MPPS BAHADURGUDA (UM),1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,42,02_31-100,0.25,25000,25000,18000,4250,2750,
17677,3623,RANGA REDDY,362306,SAROORNAGAR,36230601317,"MPPS MANSOORABAD, LB NAGAR1",1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,114,03_101-250,0.50,50000,50000,36000,8500,5500,
17678,3623,RANGA REDDY,362306,SAROORNAGAR,36230601318,MPPS VIJAYA SREE COL,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,136,03_101-250,0.50,50000,50000,36000,8500,5500,
17679,3623,RANGA REDDY,362306,SAROORNAGAR,36230601320,MPPS SHIVAMMANAGAR,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,84,02_31-100,0.25,25000,25000,18000,4250,2750,
17680,3623,RANGA REDDY,362306,SAROORNAGAR,36230601322,MPPS LINGJIGUDA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,36,02_31-100,0.25,25000,25000,18000,4250,2750,
17681,3623,RANGA REDDY,362306,SAROORNAGAR,36230601323,MPPS ALTHAF NAGAR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
17682,3623,RANGA REDDY,362306,SAROORNAGAR,36230601326,MPPS BUPESH GUPTA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,242,03_101-250,0.50,50000,50000,36000,8500,5500,
17683,3623,RANGA REDDY,362306,SAROORNAGAR,36230601328,MPPS VIRAT NAGAR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,35,02_31-100,0.25,25000,25000,18000,4250,2750,
17684,3623,RANGA REDDY,362306,SAROORNAGAR,36230601329,MPPS DATUNAGAR,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,100,02_31-100,0.25,25000,25000,18000,4250,2750,
17685,3623,RANGA REDDY,362306,SAROORNAGAR,36230601330,MPPS TEACHER COLONY,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,68,02_31-100,0.25,25000,25000,18000,4250,2750,
17686,3623,RANGA REDDY,362306,SAROORNAGAR,36230601332,MPPS SRINIVASAPURAM CLNY,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,66,02_31-100,0.25,25000,25000,18000,4250,2750,
17687,3623,RANGA REDDY,362306,SAROORNAGAR,36230601333,MPPS HASTINAPURAM,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,67,02_31-100,0.25,25000,25000,18000,4250,2750,
17688,3623,RANGA REDDY,362306,SAROORNAGAR,36230601334,MPPS ROSHANUDDOWLA,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,63,02_31-100,0.25,25000,25000,18000,4250,2750,
17689,3623,RANGA REDDY,362306,SAROORNAGAR,36230601413,"MPPS MANSOORABAD, LB NAGAR2",1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,188,03_101-250,0.50,50000,50000,36000,8500,5500,
17690,3623,RANGA REDDY,362306,SAROORNAGAR,36230601450,GOVT. HS MOOSA NAGAR(TW),6,03_HS,01_Govt_Localbody,sec_hsec,16_501 to 600,573,04_251-1000,0.75,75000,75000,54000,12750,8250,
